sku_id,product_name,category,unit_cost,list_price,launch_date
SKU054,Hair Dryer,Appliances,17062,20753,2023-09-04
SKU055,Grooming Trimmer,Appliances,22018,32039,2025-06-13
SKU056,Sound System,Appliances,28959,43522,2021-03-16
SKU057,Sofa Set,Furniture,34049,45747,2022-05-30
SKU058,Center Table,Furniture,11942,18842,2022-02-03
SKU059,TV Unit,Furniture,26387,40526,2023-01-02
SKU060,Diwan,Furniture,6914,8326,2021-01-02
SKU061,Shoe Cabinet,Furniture,11014,16282,2022-02-25
SKU062,Double Bed,Furniture,26571,33789,2025-12-08
SKU063,Wardrobe,Furniture,32066,40946,2022-06-08
SKU064,Dressing Table,Furniture,29464,37826,2023-08-10
SKU065,Bedside Table,Furniture,12558,19744,2021-02-27
SKU066,Diwan Cot,Furniture,12705,20080,2021-04-13
SKU067,Dining Table Set,Furniture,13012,16369,2025-04-13
SKU068,Crockery Unit,Furniture,18011,23003,2025-02-23
SKU069,Kitchen Trolley Unit,Furniture,37971,59012,2024-05-08
SKU070,Bar Stool,Furniture,19202,25030,2022-09-17
SKU071,Study Table,Furniture,11623,15175,2025-10-14
SKU072,Office Chair,Furniture,25972,32820,2021-08-30
SKU073,Bookshelf,Furniture,9561,11507,2022-03-02
SKU074,Computer Table,Furniture,12311,14840,2024-05-12
SKU075,Plastic Chair,Furniture,23822,30893,2024-01-28
SKU076,Wall Hanging,Home Decor,2454,3485,2024-04-08
SKU077,Brass Diya,Home Decor,2065,3238,2021-02-03
SKU078,Handloom Cushion Cover,Home Decor,383,528,2024-12-20
SKU079,Jute Rug,Home Decor,1036,1356,2025-12-20
SKU080,Terracotta Planter,Home Decor,1848,2746,2022-02-13
SKU081,Wooden Wall Shelf,Home Decor,1186,1706,2021-03-08
SKU082,Glass Flower Vase,Home Decor,2682,3839,2021-04-12
SKU083,Metal Wall Art,Home Decor,2591,3474,2025-02-12
SKU084,Cotton Door Curtain,Home Decor,204,267,2025-11-12
SKU085,Pichwai Painting,Home Decor,2588,3322,2023-03-25
SKU086,Scented Candle,Home Decor,328,486,2021-09-19
SKU087,Beaded Table Runner,Home Decor,1076,1468,2022-02-22
SKU088,Bamboo Wind Chime,Home Decor,2299,3481,2025-10-27
SKU089,Marble Coaster Set,Home Decor,1247,1539,2021-06-12
SKU090,Ethnic Floor Cushion,Home Decor,159,224,2024-07-31
SKU091,Pressure Cooker,Cookware & Tableware,1198,1451,2025-04-22
SKU092,Tawa,Cookware & Tableware,2703,4173,2024-08-28
SKU093,Kadai,Cookware & Tableware,2643,3675,2021-05-23
SKU094,Top,Cookware & Tableware,805,1034,2021-02-17
SKU095,Fry Pan,Cookware & Tableware,859,1277,2021-02-12
SKU096,Thali,Cookware & Tableware,2034,2547,2025-10-07
SKU097,Katori,Cookware & Tableware,669,1045,2023-02-02
SKU098,Tumbler,Cookware & Tableware,2800,4354,2022-02-21
SKU099,Hot Case,Cookware & Tableware,1692,2332,2025-03-22
SKU100,Serving Spoon,Cookware & Tableware,601,849,2025-11-19
